id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9984,"July 11, 2010 20:23",2010-07-11,2010-07-12 00:23:00 UTC,Eastern Time (US & Canada),520,johnnybirder,2011-01-19 19:56:50 UTC,2021-09-09 03:01:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/9984,http://static.inaturalist.org/photos/21195/medium.jpg,,"",Seen at MP339,8,0,false,,"North Slope, AK",68.768258,-148.987141,4134,,,,4134,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
44825,2011-09-06,2011-09-06,,Mountain Time (US & Canada),2236,joecf,2011-12-25 06:24:09 UTC,2021-09-09 02:07:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/44825,https://inaturalist-open-data.s3.amazonaws.com/photos/72343/medium.jpg,,"","",5,0,false,,"Yellowstone National Park, US",44.898360725,-110.3166899333,,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
48955,"June 07, 2010 17:55",2010-06-07,2010-06-07 23:55:00 UTC,Mountain Time (US & Canada),4530,jay,2012-01-26 01:15:56 UTC,2021-09-09 01:45:10 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/48955,http://static.inaturalist.org/photos/78584/medium.jpg,,"","",7,0,false,,"Yellowstone National Park, Park County, US-WY, US",44.7050263385,-110.4215135812,,,,,27285,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
50471,"June 06, 2009 01:38",2009-06-06,2009-06-06 07:38:00 UTC,Mountain Time (US & Canada),4530,jay,2012-02-03 13:52:14 UTC,2021-09-09 01:45:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/50471,http://static.inaturalist.org/photos/78584/medium.jpg,,"","A determined elk kept three wolves  at bay for at least the hour I observed them, presumably protecting her newborn calf. ",2,0,false,,"Yellowstone National Park, Park County, US-WY, US",44.7574443691,-110.5441849344,,,,,27285,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
51264,2008-08-13,2008-08-13,,Pacific Time (US & Canada),4442,tikaani,2012-02-08 17:28:19 UTC,2021-09-09 02:51:57 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/51264,http://static.inaturalist.org/photos/81250/medium.JPG,,"","",6,0,false,,denali national park,63.1148002,-151.1926058,160042,,,,160042,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
51875,2011-06-10,2011-06-10,,Mountain Time (US & Canada),4530,jay,2012-02-13 05:29:27 UTC,2021-09-09 01:44:53 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/51875,http://static.inaturalist.org/photos/82007/medium.jpg,,"","A pair of wolves killed an elk, apparently near their den. The individual pictured would take a chunk of the carcass and trot off into woods and then return. This was repeated over the course of two days. When the wolf was away, ravens picked at the carcass as seen in the second image.",5,0,false,,"Yellowstone National Park, Park County, US-WY, US",44.7094386814,-110.539517316,,,,,27285,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
79182,2012-05-03,2012-05-03,,Mountain Time (US & Canada),2236,joecf,2012-05-15 04:25:19 UTC,2021-09-06 17:58:19 UTC,research,CC-BY,http://www.inaturalist.org/observations/79182,https://inaturalist-open-data.s3.amazonaws.com/photos/116888/medium.jpg,,"","",7,0,false,,"Yellowstone National Park, US",44.9011198534,-110.7405087176,,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
90907,2012-06-10,2012-06-10,,Mountain Time (US & Canada),4530,jay,2012-06-13 16:32:32 UTC,2021-09-09 01:44:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/90907,http://static.inaturalist.org/photos/132451/medium.jpg,,"","",5,0,false,,"Yellowstone National Park, US",44.872891015,-110.3750767974,,,,,27253,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
106283,2012-07-15,2012-07-15,,Eastern Time (US & Canada),3753,crusty,2012-07-27 16:54:31 UTC,2021-09-09 02:30:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/106283,https://inaturalist-open-data.s3.amazonaws.com/photos/152822/medium.JPG,,"","With only around 100 wolves in Yellowstone, we feel fortunate to have seen this one feeding on what may be a mule deer carcass.",4,0,false,,"Yellowstone National Park, Teton County, US-WY, US",44.4948428333,-110.6031138721,,,,,27317,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
110470,2008-08-08,2008-08-08,,Hawaii,8487,jessicafriedman180,2012-08-08 21:10:05 UTC,2021-09-09 02:31:18 UTC,research,CC-BY,http://www.inaturalist.org/observations/110470,http://static.inaturalist.org/photos/157729/medium.JPG,,"","",3,0,false,,United States,44.4778351068,-110.6060550768,94744,,,,94744,,obscured,true,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
138016,2012-06-25,2012-06-25,,Pacific Time (US & Canada),10299,summermule,2012-10-22 15:16:15 UTC,2021-09-09 02:45:03 UTC,research,CC-BY,http://www.inaturalist.org/observations/138016,https://inaturalist-open-data.s3.amazonaws.com/photos/191747/medium.jpg,,"","",5,0,false,,"Denali NP, AK",63.7309649,-148.9171671,960,,,,960,,,false,,,Gray Wolf,Canis lupus,Gray Wolf,Mammalia,42048
140275,2010-09-07,2010-09-07,,Beijing,10612,zieak,2012-10-28 12:49:02 UTC,2021-09-09 03:03:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/140275,https://inaturalist-open-data.s3.amazonaws.com/photos/194448/medium.jpg,,"","",4,0,false,,"Petersburg County, US-AK, US",56.6162889042,-132.8512116464,,,,,25371,,obscured,true,,,British Columbia Wolf,Canis lupus crassodon,Coastal Wolf,Mammalia,547190
